item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,spillover_pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
1,2,a,2a,Im Jahr,2001,werde ich,in dem,Film,"""",A Beautiful Mind,"""",auftreten,",",das behauptete,Russell Crowe,in einem Intervew.,"Im Jahr 2001 werde ich in dem Film ""A Beautiful Mind"" auftreten, das behauptete Russell Crowe in einem Intervew.",full match,L5,F,J,match,match,critical,DP,Actors,Russell_Crowe.jpg,
1,4,a,4a,Im Jahr,1939,werde ich,in dem,Film,"""",Opfer einer großen Liebe,"""",auftreten,",",das behauptete,Humphrey Bogart,in einem Intervew.,"Im Jahr 1939 werde ich in dem Film ""Opfer einer großen Liebe"" auftreten, das behauptete Humphrey Bogart in einem Intervew.",full match,L5,F,J,match,match,critical,DP,Actors,Humphrey_Bogart.jpg,
2,5,d,5d,Im Jahr,2018,werde ich,das,Lied,"""",Under Pressure,"""",aufnehmen,",",das verkündete,Michael Jackson,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""Under Pressure"" aufnehmen, das verkündete Michael Jackson gegenüber der Presse.",life-fact mismatch,L5,F,J,mismatch,mismatch,critical,DP,Musicians,Michael_Jackson.png,
2,7,d,7d,Im Jahr,1982,werde ich,das,Lied,"""",Je ne parle pas français,"""",aufnehmen,",",das verkündete,Childish Gambino,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""Je ne parle pas français"" aufnehmen, das verkündete Childish Gambino gegenüber der Presse.",life-fact mismatch,L5,F,J,mismatch,mismatch,critical,DP,Musicians,Childish_Gambino.png,
3,9,c,9c,Im Jahr,1997,werde ich,in dem,Film,"""",... denn sie wissen nicht,"""",mitspielen,",",das meinte,James Dean,zu einem Reporter.,"Im Jahr 1997 werde ich in dem Film ""... denn sie wissen nicht"" mitspielen, das meinte James Dean zu einem Reporter.",life mismatch,L5,F,J,mismatch,match,critical,DP,Actors,James_Dean.jpg,
3,11,c,11c,Im Jahr,1940,werde ich,in dem,Film,"""",Batman & Robin,"""",mitspielen,",",das meinte,George Clooney,zu einem Reporter.,"Im Jahr 1940 werde ich in dem Film ""Batman & Robin"" mitspielen, das meinte George Clooney zu einem Reporter.",life mismatch,L5,F,J,mismatch,match,critical,DP,Actors,George_Clooney.jpg,
4,13,b,13b,Im Jahr,1977,werde ich,das,Buch,"""",Shining,"""",schreiben,",",das erzählte,Margaret Atwood,einer Tageszeitung.,"Im Jahr 1977 werde ich das Buch ""Shining"" schreiben, das erzählte Margaret Atwood einer Tageszeitung.",fact mismatch,L5,F,J,match,mismatch,critical,DP,Authors,Margaret_Atwood.jpg,
4,15,b,15b,Im Jahr,1929,werde ich,das,Buch,"""",Ein Zimmer für sich allein,"""",schreiben,",",das erzählte,Ernest Hemingway,einer Tageszeitung.,"Im Jahr 1929 werde ich das Buch ""Ein Zimmer für sich allein"" schreiben, das erzählte Ernest Hemingway einer Tageszeitung.",fact mismatch,L5,F,J,match,mismatch,critical,DP,Authors,Ernest_Hemingway.jpg,
5,17,a,17a,Im Jahr,2000,werde ich,in dem,Film,"""",Titanic,"""",zu sehen sein,",",das stellte,Kate Winslet,in einem Interview fest.,"Im Jahr 2000 werde ich in dem Film ""Titanic"" zu sehen sein, das stellte Kate Winslet in einem Interview fest.",full match,L5,F,J,match,match,critical,DP,Actors,Kate_Winslet.jpg,
5,19,a,19a,Im Jahr,1959,werde ich,in dem,Film,"""",Vertigo,"""",zu sehen sein,",",das stellte,Jimmy Stewart,in einem Interview fest.,"Im Jahr 1959 werde ich in dem Film ""Vertigo"" zu sehen sein, das stellte Jimmy Stewart in einem Interview fest.",full match,L5,F,J,match,match,critical,DP,Actors,Jimmy_Stewart.jpg,
6,22,d,22d,Im Jahr,2004,werde ich,bei dem,Film,"""",Spartacus,"""",Regie führen,",",das versicherte,Alfred Hitchcock,einem Reporter.,"Im Jahr 2004 werde ich bei dem Film ""Spartacus"" Regie führen, das versicherte Alfred Hitchcock einem Reporter.",life-fact mismatch,L5,F,J,mismatch,mismatch,critical,PM,Directors,Alfred_Hitchcock.jpg,
6,24,d,24d,Im Jahr,1960,werde ich,bei dem,Film,"""",Kill Bill – Volume 2,"""",Regie führen,",",das versicherte,Edgar Wright,einem Reporter.,"Im Jahr 1960 werde ich bei dem Film ""Kill Bill – Volume 2"" Regie führen, das versicherte Edgar Wright einem Reporter.",life-fact mismatch,L5,F,J,mismatch,mismatch,critical,PM,Directors,Edgar_Wright.jpg,
