item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,spillover_pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
1,1,a,1a,Im Jahr,2001,werde ich,in dem,Film,"""",Harry Potter und der Stein der Weisen,"""",auftreten,",",das behauptete,Emma Watson,in einem Intervew.,"Im Jahr 2001 werde ich in dem Film ""Harry Potter und der Stein der Weisen"" auftreten, das behauptete Emma Watson in einem Intervew.",full match,L1,F,J,match,match,critical,DP,Actors,Emma_Watson.jpg,
1,3,a,3a,Im Jahr,1939,werde ich,in dem,Film,"""",Zauberer von Oz,"""",auftreten,",",das behauptete,Judy Garland,in einem Intervew.,"Im Jahr 1939 werde ich in dem Film ""Zauberer von Oz"" auftreten, das behauptete Judy Garland in einem Intervew.",full match,L1,F,J,match,match,critical,DP,Actors,Judy_Garland.jpg,
2,6,d,6d,Im Jahr,2018,werde ich,das,Lied,"""",Thriller,"""",aufnehmen,",",das verkündete,David Bowie,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""Thriller"" aufnehmen, das verkündete David Bowie gegenüber der Presse.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,DP,Musicians,David_Bowie.jpg,
2,8,d,8d,Im Jahr,1982,werde ich,das,Lied,"""",This Is America,"""",aufnehmen,",",das verkündete,Namika,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""This Is America"" aufnehmen, das verkündete Namika gegenüber der Presse.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,DP,Musicians,Namika.jpg,
3,10,c,10c,Im Jahr,1997,werde ich,in dem,Film,"""",Vom Winde verweht,"""",mitspielen,",",das meinte,Clark Gable,zu einem Reporter.,"Im Jahr 1997 werde ich in dem Film ""Vom Winde verweht"" mitspielen, das meinte Clark Gable zu einem Reporter.",life mismatch,L1,F,J,mismatch,match,critical,DP,Actors,Clark_Gable.jpg,
3,12,c,12c,Im Jahr,1940,werde ich,in dem,Film,"""",Austin Powers,"""",mitspielen,",",das meinte,Mike Myers,zu einem Reporter.,"Im Jahr 1940 werde ich in dem Film ""Austin Powers"" mitspielen, das meinte Mike Myers zu einem Reporter.",life mismatch,L1,F,J,mismatch,match,critical,DP,Actors,Mike_Myers.jpg,
4,14,b,14b,Im Jahr,1977,werde ich,das,Buch,"""",The Handmaid's Tale,"""",schreiben,",",das erzählte,Stephen King,einer Tageszeitung.,"Im Jahr 1977 werde ich das Buch ""The Handmaid's Tale"" schreiben, das erzählte Stephen King einer Tageszeitung.",fact mismatch,L1,F,J,match,mismatch,critical,DP,Authors,Stephen_King.jpg,
4,16,b,16b,Im Jahr,1929,werde ich,das,Buch,"""",In einem andern Land,"""",schreiben,",",das erzählte,Virginia Woolf,einer Tageszeitung.,"Im Jahr 1929 werde ich das Buch ""In einem andern Land"" schreiben, das erzählte Virginia Woolf einer Tageszeitung.",fact mismatch,L1,F,J,match,mismatch,critical,DP,Authors,Virginia_Woolf.jpg,
5,18,a,18a,Im Jahr,2000,werde ich,in dem,Film,"""",Pulp Fiction,"""",zu sehen sein,",",das stellte,Uma Thurmann,in einem Interview fest.,"Im Jahr 2000 werde ich in dem Film ""Pulp Fiction"" zu sehen sein, das stellte Uma Thurmann in einem Interview fest.",full match,L1,F,J,match,match,critical,DP,Actors,Uma_Thurman.jpg,
5,20,a,20a,Im Jahr,1959,werde ich,in dem,Film,"""",Manche mögen's heiß,"""",zu sehen sein,",",das stellte,Marilyn Monroe,in einem Interview fest.,"Im Jahr 1959 werde ich in dem Film ""Manche mögen's heiß"" zu sehen sein, das stellte Marilyn Monroe in einem Interview fest.",full match,L1,F,J,match,match,critical,DP,Actors,Marilyn_Monroe.jpg,
6,21,d,21d,Im Jahr,2004,werde ich,bei dem,Film,"""",Psycho,"""",Regie führen,",",das versicherte,Stanley Kubrick,einem Reporter.,"Im Jahr 2004 werde ich bei dem Film ""Psycho"" Regie führen, das versicherte Stanley Kubrick einem Reporter.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Directors,Stanley_Kubrick.jpg,
6,23,d,23d,Im Jahr,1960,werde ich,bei dem,Film,"""",Shaun of the Dead,"""",Regie führen,",",das versicherte,Quentin Tarantino,einem Reporter.,"Im Jahr 1960 werde ich bei dem Film ""Shaun of the Dead"" Regie führen, das versicherte Quentin Tarantino einem Reporter.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Directors,Quentin_Tarantino.jpg,
7,25,c,25c,Im Jahr,2020,werde ich,das,Turnier im,"""",Boxen,"""",gewinnen,",",das berichtete,Muhammad Ali,einer Nachrichtenagentur.,"Im Jahr 2020 werde ich das Turnier im ""Boxen"" gewinnen, das berichtete Muhammad Ali einer Nachrichtenagentur.",life mismatch,L1,F,J,mismatch,match,critical,PM,Athletes,Muhammad_Ali.jpg,
7,27,c,27c,Im Jahr,1975,werde ich,das,Turnier im,"""",Fußball,"""",gewinnen,",",das berichtete,Lionel Messi,einer Nachrichtenagentur.,"Im Jahr 1975 werde ich das Turnier im ""Fußball"" gewinnen, das berichtete Lionel Messi einer Nachrichtenagentur.",life mismatch,L1,F,J,mismatch,match,critical,PM,Athletes,Lionel_Messi.jpg,
8,29,b,29b,Im Jahr,2019,werde ich,in dem,Film,"""",Once Upon a Time in Hollywood,"""",auftreten,",",das teilte,Joaquin Phoenix,einer Journalistin mit.,"Im Jahr 2019 werde ich in dem Film ""Once Upon a Time in Hollywood"" auftreten, das teilte Joaquin Phoenix einer Journalistin mit.",fact mismatch,L1,F,J,match,mismatch,critical,AP,Actors,Joaquin_Phoenix.jpg,
8,31,b,31b,Im Jahr,1963,werde ich,in dem,Film,"""",Cleopatra,"""",auftreten,",",das teilte,Romy Schneider,einer Journalistin mit.,"Im Jahr 1963 werde ich in dem Film ""Cleopatra"" auftreten, das teilte Romy Schneider einer Journalistin mit.",fact mismatch,L1,F,J,match,mismatch,critical,AP,Actors,Romy_Schneider.jpg,
9,33,a,33a,Im Jahr,1990,werde ich,in dem,Film,"""",Pretty Woman,"""",mitspielen,",",das äußerte,Julia Roberts,gegenüber den Medien.,"Im Jahr 1990 werde ich in dem Film ""Pretty Woman"" mitspielen, das äußerte Julia Roberts gegenüber den Medien.",full match,L1,F,J,match,match,critical,AP,Actors,Julia_Roberts.jpg,
9,35,a,35a,Im Jahr,1963,werde ich,in dem,Film,"""",Dinner for One,"""",mitspielen,",",das äußerte,May Warden,gegenüber den Medien.,"Im Jahr 1963 werde ich in dem Film ""Dinner for One"" mitspielen, das äußerte May Warden gegenüber den Medien.",full match,L1,F,J,match,match,critical,AP,Actors,May_Warden.jpg,
10,38,d,38d,Im Jahr,2015,werde ich,in dem,Film,"""",The Invisible Woman,"""",die Hauptrolle spielen,",",das schilderte,Charlie Chaplin,interessierten Fans.,"Im Jahr 2015 werde ich in dem Film ""The Invisible Woman"" die Hauptrolle spielen, das schilderte Charlie Chaplin interessierten Fans.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,AP,Actors,Charlie_Chaplin.jpg,
10,40,d,40d,Im Jahr,1940,werde ich,in dem,Film,"""",Die Tribute von Panem – Mockingjay,"""",die Hauptrolle spielen,",",das schilderte,Arnold Schwarzenegger,interessierten Fans.,"Im Jahr 1940 werde ich in dem Film ""Die Tribute von Panem – Mockingjay"" die Hauptrolle spielen, das schilderte Arnold Schwarzenegger interessierten Fans.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,AP,Actors,Arnold_Schwarzenegger.jpg,
11,42,c,42c,Im Jahr,1998,werde ich,in dem,Film,"""",Das süße Leben,"""",die Hauptrolle spielen,",",das behauptete,Marcello Mastroianni,auf dem roten Teppich.,"Im Jahr 1998 werde ich in dem Film ""Das süße Leben"" die Hauptrolle spielen, das behauptete Marcello Mastroianni auf dem roten Teppich.",life mismatch,L1,F,J,mismatch,match,critical,AP,Actors,Marcello_Mastroianni.jpg,
11,44,c,44c,Im Jahr,1960,werde ich,in dem,Film,"""",Lola rennt,"""",die Hauptrolle spielen,",",das behauptete,Franka Potente,auf dem roten Teppich.,"Im Jahr 1960 werde ich in dem Film ""Lola rennt"" die Hauptrolle spielen, das behauptete Franka Potente auf dem roten Teppich.",life mismatch,L1,F,J,mismatch,match,critical,AP,Actors,Franka_Potente.jpg,
12,46,b,46b,Im Jahr,2020,werde ich,mein,Engagement für die,"""",Rechte junger Frauen,"""",vorantreiben,",",das verkündete,Greta Thunberg,auf einer Pressekonferenz.,"Im Jahr 2020 werde ich mein Engagement für die ""Rechte junger Frauen"" vorantreiben, das verkündete Greta Thunberg auf einer Pressekonferenz.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Activist,Greta_Thunberg.jpg,
12,48,b,48b,Im Jahr,1955,werde ich,mein,Engagement für die,"""",Abschaffung der Apartheid,"""",vorantreiben,",",das verkündete,Martin Luther King,auf einer Pressekonferenz.,"Im Jahr 1955 werde ich mein Engagement für die ""Abschaffung der Apartheid"" vorantreiben, das verkündete Martin Luther King auf einer Pressekonferenz.",fact mismatch,L1,F,J,match,mismatch,critical,PM,Activist,Martin_Luther_King,
13,50,a,50a,Im Jahr,2007,werde ich,den,Film,"""",No Country for Old Men,"""",inszenieren,",",das meinte,Ethan Coen,in einer Fragerunde.,"Im Jahr 2007 werde ich den Film ""No Country for Old Men"" inszenieren, das meinte Ethan Coen in einer Fragerunde.",full match,L1,F,J,match,match,critical,PM,Directors,Ethan_Coen.jpg,
13,52,a,52a,Im Jahr,1925,werde ich,den,Film,"""",Metropolis,"""",inszenieren,",",das meinte,Fritz Lang,in einer Fragerunde.,"Im Jahr 1925 werde ich den Film ""Metropolis"" inszenieren, das meinte Fritz Lang in einer Fragerunde.",full match,L1,F,J,match,match,critical,PM,Directors,Fritz_Lang.jpg,
14,53,d,53d,Im Jahr,1991,werde ich,in dem,Film,"""",Dracula,"""",zu sehen sein,",",das erzählte,Boris Karloff,einer Nachrichtenagentur.,"Im Jahr 1991 werde ich in dem Film ""Dracula"" zu sehen sein, das erzählte Boris Karloff einer Nachrichtenagentur.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Actors,Boris_Karloff.jpg,
14,55,d,55d,Im Jahr,1931,werde ich,in dem,Film,"""",Das Schweigen der Lämmer,"""",zu sehen sein,",",das erzählte,Robert Englund,einer Nachrichtenagentur.,"Im Jahr 1931 werde ich in dem Film ""Das Schweigen der Lämmer"" zu sehen sein, das erzählte Robert Englund einer Nachrichtenagentur.",life-fact mismatch,L1,F,J,mismatch,mismatch,critical,PM,Actors,Robert_Englund.jpg,
