item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,spillover_pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
1,1,c,1c,Im Jahr,2001,werde ich,in dem,Film,"""",Zauberer von Oz,"""",auftreten,",",das behauptete,Judy Garland,in einem Intervew.,"Im Jahr 2001 werde ich in dem Film ""Zauberer von Oz"" auftreten, das behauptete Judy Garland in einem Intervew.",life mismatch,L3,F,J,mismatch,match,critical,DP,Actors,Judy_Garland.jpg,
1,3,c,3c,Im Jahr,1939,werde ich,in dem,Film,"""",Harry Potter und der Stein der Weisen,"""",auftreten,",",das behauptete,Emma Watson,in einem Intervew.,"Im Jahr 1939 werde ich in dem Film ""Harry Potter und der Stein der Weisen"" auftreten, das behauptete Emma Watson in einem Intervew.",life mismatch,L3,F,J,mismatch,match,critical,DP,Actors,Emma_Watson.jpg,
2,5,b,5b,Im Jahr,2018,werde ich,das,Lied,"""",Je ne parle pas français,"""",aufnehmen,",",das verkündete,Childish Gambino,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""Je ne parle pas français"" aufnehmen, das verkündete Childish Gambino gegenüber der Presse.",fact mismatch,L3,F,J,match,mismatch,critical,DP,Musicians,Childish_Gambino.png,
2,7,b,7b,Im Jahr,1982,werde ich,das,Lied,"""",Under Pressure,"""",aufnehmen,",",das verkündete,Michael Jackson,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""Under Pressure"" aufnehmen, das verkündete Michael Jackson gegenüber der Presse.",fact mismatch,L3,F,J,match,mismatch,critical,DP,Musicians,Michael_Jackson.png,
3,9,a,9a,Im Jahr,1997,werde ich,in dem,Film,"""",Batman & Robin,"""",mitspielen,",",das meinte,George Clooney,zu einem Reporter.,"Im Jahr 1997 werde ich in dem Film ""Batman & Robin"" mitspielen, das meinte George Clooney zu einem Reporter.",full match,L3,F,J,match,match,critical,DP,Actors,George_Clooney.jpg,
3,11,a,11a,Im Jahr,1940,werde ich,in dem,Film,"""",... denn sie wissen nicht,"""",mitspielen,",",das meinte,James Dean,zu einem Reporter.,"Im Jahr 1940 werde ich in dem Film ""... denn sie wissen nicht"" mitspielen, das meinte James Dean zu einem Reporter.",full match,L3,F,J,match,match,critical,DP,Actors,James_Dean.jpg,
4,14,d,14d,Im Jahr,1985,werde ich,das,Buch,"""",In einem andern Land,"""",schreiben,",",das erzählte,Virginia Woolf,einer Tageszeitung.,"Im Jahr 1985 werde ich das Buch ""In einem andern Land"" schreiben, das erzählte Virginia Woolf einer Tageszeitung.",life-fact mismatch,L3,F,J,mismatch,mismatch,critical,DP,Authors,Virginia_Woolf.jpg,
4,16,d,16d,Im Jahr,1929,werde ich,das,Buch,"""",The Handmaid's Tale,"""",schreiben,",",das erzählte,Stephen King,einer Tageszeitung.,"Im Jahr 1929 werde ich das Buch ""The Handmaid's Tale"" schreiben, das erzählte Stephen King einer Tageszeitung.",life-fact mismatch,L3,F,J,mismatch,mismatch,critical,DP,Authors,Stephen_King.jpg,
5,18,c,18c,Im Jahr,2000,werde ich,in dem,Film,"""",Manche mögen's heiß,"""",zu sehen sein,",",das stellte,Marilyn Monroe,in einem Interview fest.,"Im Jahr 2000 werde ich in dem Film ""Manche mögen's heiß"" zu sehen sein, das stellte Marilyn Monroe in einem Interview fest.",life mismatch,L3,F,J,mismatch,match,critical,DP,Actors,Marilyn_Monroe.jpg,
5,20,c,20c,Im Jahr,1959,werde ich,in dem,Film,"""",Pulp Fiction,"""",zu sehen sein,",",das stellte,Uma Thurmann,in einem Interview fest.,"Im Jahr 1959 werde ich in dem Film ""Pulp Fiction"" zu sehen sein, das stellte Uma Thurmann in einem Interview fest.",life mismatch,L3,F,J,mismatch,match,critical,DP,Actors,Uma_Thurman.jpg,
6,22,b,22b,Im Jahr,2004,werde ich,bei dem,Film,"""",Kill Bill – Volume 2,"""",Regie führen,",",das versicherte,Edgar Wright,einem Reporter.,"Im Jahr 2004 werde ich bei dem Film ""Kill Bill – Volume 2"" Regie führen, das versicherte Edgar Wright einem Reporter.",fact mismatch,L3,F,J,match,mismatch,critical,PM,Directors,Edgar_Wright.jpg,
6,24,b,24b,Im Jahr,1960,werde ich,bei dem,Film,"""",Spartacus,"""",Regie führen,",",das versicherte,Alfred Hitchcock,einem Reporter.,"Im Jahr 1960 werde ich bei dem Film ""Spartacus"" Regie führen, das versicherte Alfred Hitchcock einem Reporter.",fact mismatch,L3,F,J,match,mismatch,critical,PM,Directors,Alfred_Hitchcock.jpg,
7,26,a,26a,Im Jahr,2020,werde ich,das,Turnier im,"""",Tennis,"""",gewinnen,",",das berichtete,Serena Williams,einer Nachrichtenagentur.,"Im Jahr 2020 werde ich das Turnier im ""Tennis"" gewinnen, das berichtete Serena Williams einer Nachrichtenagentur.",full match,L3,F,J,match,match,critical,PM,Athletes,Serena_Williams.jpg,
7,28,a,28a,Im Jahr,1975,werde ich,das,Turnier im,"""",Autorennen,"""",gewinnen,",",das berichtete,Niki Lauda,einer Nachrichtenagentur.,"Im Jahr 1975 werde ich das Turnier im ""Autorennen"" gewinnen, das berichtete Niki Lauda einer Nachrichtenagentur.",full match,L3,F,J,match,match,critical,PM,Athletes,Niki_Lauda.jpg,
8,29,d,29d,Im Jahr,2019,werde ich,in dem,Film,"""",Cleopatra,"""",auftreten,",",das teilte,Romy Schneider,einer Journalistin mit.,"Im Jahr 2019 werde ich in dem Film ""Cleopatra"" auftreten, das teilte Romy Schneider einer Journalistin mit.",life-fact mismatch,L3,F,J,mismatch,mismatch,critical,AP,Actors,Romy_Schneider.jpg,
8,31,d,31d,Im Jahr,1963,werde ich,in dem,Film,"""",Once Upon a Time in Hollywood,"""",auftreten,",",das teilte,Joaquin Phoenix,einer Journalistin mit.,"Im Jahr 1963 werde ich in dem Film ""Once Upon a Time in Hollywood"" auftreten, das teilte Joaquin Phoenix einer Journalistin mit.",life-fact mismatch,L3,F,J,mismatch,mismatch,critical,AP,Actors,Joaquin_Phoenix.jpg,
9,33,c,33c,Im Jahr,1990,werde ich,in dem,Film,"""",Dinner for One,"""",mitspielen,",",das äußerte,May Warden,gegenüber den Medien.,"Im Jahr 1990 werde ich in dem Film ""Dinner for One"" mitspielen, das äußerte May Warden gegenüber den Medien.",life mismatch,L3,F,J,mismatch,match,critical,AP,Actors,May_Warden.jpg,
9,35,c,35c,Im Jahr,1963,werde ich,in dem,Film,"""",Pretty Woman,"""",mitspielen,",",das äußerte,Julia Roberts,gegenüber den Medien.,"Im Jahr 1963 werde ich in dem Film ""Pretty Woman"" mitspielen, das äußerte Julia Roberts gegenüber den Medien.",life mismatch,L3,F,J,mismatch,match,critical,AP,Actors,Julia_Roberts.jpg,
10,37,b,37b,Im Jahr,2015,werde ich,in dem,Film,"""",Terminator: Genisys,"""",die Hauptrolle spielen,",",das schilderte,Jennifer Lawrence,interessierten Fans.,"Im Jahr 2015 werde ich in dem Film ""Terminator: Genisys"" die Hauptrolle spielen, das schilderte Jennifer Lawrence interessierten Fans.",fact mismatch,L3,F,J,match,mismatch,critical,AP,Actors,Jennifer_Lawrence.jpg,
