item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,spillover_pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
1,2,d,2d,Im Jahr,2001,werde ich,in dem,Film,"""",Opfer einer großen Liebe,"""",auftreten,",",das behauptete,Judy Garland,in einem Intervew.,"Im Jahr 2001 werde ich in dem Film ""Opfer einer großen Liebe"" auftreten, das behauptete Judy Garland in einem Intervew.",life-fact mismatch,L8,F,J,mismatch,mismatch,critical,DP,Actors,Judy_Garland.jpg,
1,4,d,4d,Im Jahr,1939,werde ich,in dem,Film,"""",A Beautiful Mind,"""",auftreten,",",das behauptete,Emma Watson,in einem Intervew.,"Im Jahr 1939 werde ich in dem Film ""A Beautiful Mind"" auftreten, das behauptete Emma Watson in einem Intervew.",life-fact mismatch,L8,F,J,mismatch,mismatch,critical,DP,Actors,Emma_Watson.jpg,
2,6,c,6c,Im Jahr,2018,werde ich,das,Lied,"""",Thriller,"""",aufnehmen,",",das verkündete,Michael Jackson,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""Thriller"" aufnehmen, das verkündete Michael Jackson gegenüber der Presse.",life mismatch,L8,F,J,mismatch,match,critical,DP,Musicians,Michael_Jackson.png,
2,8,c,8c,Im Jahr,1982,werde ich,das,Lied,"""",This Is America,"""",aufnehmen,",",das verkündete,Childish Gambino,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""This Is America"" aufnehmen, das verkündete Childish Gambino gegenüber der Presse.",life mismatch,L8,F,J,mismatch,match,critical,DP,Musicians,Childish_Gambino.png,
3,10,b,10b,Im Jahr,1997,werde ich,in dem,Film,"""",Austin Powers,"""",mitspielen,",",das meinte,George Clooney,zu einem Reporter.,"Im Jahr 1997 werde ich in dem Film ""Austin Powers"" mitspielen, das meinte George Clooney zu einem Reporter.",fact mismatch,L8,F,J,match,mismatch,critical,DP,Actors,George_Clooney.jpg,
3,12,b,12b,Im Jahr,1940,werde ich,in dem,Film,"""",Vom Winde verweht,"""",mitspielen,",",das meinte,James Dean,zu einem Reporter.,"Im Jahr 1940 werde ich in dem Film ""Vom Winde verweht"" mitspielen, das meinte James Dean zu einem Reporter.",fact mismatch,L8,F,J,match,mismatch,critical,DP,Actors,James_Dean.jpg,
4,14,a,14a,Im Jahr,1977,werde ich,das,Buch,"""",The Handmaid's Tale,"""",schreiben,",",das erzählte,Margaret Atwood,einer Tageszeitung.,"Im Jahr 1977 werde ich das Buch ""The Handmaid's Tale"" schreiben, das erzählte Margaret Atwood einer Tageszeitung.",full match,L8,F,J,match,match,critical,DP,Authors,Margaret_Atwood.jpg,
4,16,a,16a,Im Jahr,1929,werde ich,das,Buch,"""",In einem andern Land,"""",schreiben,",",das erzählte,Ernest Hemingway,einer Tageszeitung.,"Im Jahr 1929 werde ich das Buch ""In einem andern Land"" schreiben, das erzählte Ernest Hemingway einer Tageszeitung.",full match,L8,F,J,match,match,critical,DP,Authors,Ernest_Hemingway.jpg,
5,17,d,17d,Im Jahr,2000,werde ich,in dem,Film,"""",Vertigo,"""",zu sehen sein,",",das stellte,Marilyn Monroe,in einem Interview fest.,"Im Jahr 2000 werde ich in dem Film ""Vertigo"" zu sehen sein, das stellte Marilyn Monroe in einem Interview fest.",life-fact mismatch,L8,F,J,mismatch,mismatch,critical,DP,Actors,Marilyn_Monroe.jpg,
5,19,d,19d,Im Jahr,1959,werde ich,in dem,Film,"""",Titanic,"""",zu sehen sein,",",das stellte,Uma Thurmann,in einem Interview fest.,"Im Jahr 1959 werde ich in dem Film ""Titanic"" zu sehen sein, das stellte Uma Thurmann in einem Interview fest.",life-fact mismatch,L8,F,J,mismatch,mismatch,critical,DP,Actors,Uma_Thurman.jpg,
6,21,c,21c,Im Jahr,2004,werde ich,bei dem,Film,"""",Psycho,"""",Regie führen,",",das versicherte,Alfred Hitchcock,einem Reporter.,"Im Jahr 2004 werde ich bei dem Film ""Psycho"" Regie führen, das versicherte Alfred Hitchcock einem Reporter.",life mismatch,L8,F,J,mismatch,match,critical,PM,Directors,Alfred_Hitchcock.jpg,
6,23,c,23c,Im Jahr,1960,werde ich,bei dem,Film,"""",Shaun of the Dead,"""",Regie führen,",",das versicherte,Edgar Wright,einem Reporter.,"Im Jahr 1960 werde ich bei dem Film ""Shaun of the Dead"" Regie führen, das versicherte Edgar Wright einem Reporter.",life mismatch,L8,F,J,mismatch,match,critical,PM,Directors,Edgar_Wright.jpg,
7,25,b,25b,Im Jahr,2020,werde ich,das,Turnier im,"""",Fußball,"""",gewinnen,",",das berichtete,Serena Williams,einer Nachrichtenagentur.,"Im Jahr 2020 werde ich das Turnier im ""Fußball"" gewinnen, das berichtete Serena Williams einer Nachrichtenagentur.",fact mismatch,L8,F,J,match,mismatch,critical,PM,Athletes,Serena_Williams.jpg,
7,27,b,27b,Im Jahr,1975,werde ich,das,Turnier im,"""",Boxen,"""",gewinnen,",",das berichtete,Niki Lauda,einer Nachrichtenagentur.,"Im Jahr 1975 werde ich das Turnier im ""Boxen"" gewinnen, das berichtete Niki Lauda einer Nachrichtenagentur.",fact mismatch,L8,F,J,match,mismatch,critical,PM,Athletes,Niki_Lauda.jpg,
8,29,a,29a,Im Jahr,2019,werde ich,in dem,Film,"""",Once Upon a Time in Hollywood,"""",auftreten,",",das teilte,Brad Pitt,einer Journalistin mit.,"Im Jahr 2019 werde ich in dem Film ""Once Upon a Time in Hollywood"" auftreten, das teilte Brad Pitt einer Journalistin mit.",full match,L8,F,J,match,match,critical,AP,Actors,Brad_Pitt.jpeg,
8,31,a,31a,Im Jahr,1963,werde ich,in dem,Film,"""",Cleopatra,"""",auftreten,",",das teilte,Elizabeth Taylor,einer Journalistin mit.,"Im Jahr 1963 werde ich in dem Film ""Cleopatra"" auftreten, das teilte Elizabeth Taylor einer Journalistin mit.",full match,L8,F,J,match,match,critical,AP,Actors,Elizabeth_Taylor.jpg,
9,34,d,34d,Im Jahr,1990,werde ich,in dem,Film,"""",Winnetou,"""",mitspielen,",",das äußerte,May Warden,gegenüber den Medien.,"Im Jahr 1990 werde ich in dem Film ""Winnetou"" mitspielen, das äußerte May Warden gegenüber den Medien.",life-fact mismatch,L8,F,J,mismatch,mismatch,critical,AP,Actors,May_Warden.jpg,
9,36,d,36d,Im Jahr,1963,werde ich,in dem,Film,"""",Edward mit den Scherenhänden,"""",mitspielen,",",das äußerte,Julia Roberts,gegenüber den Medien.,"Im Jahr 1963 werde ich in dem Film ""Edward mit den Scherenhänden"" mitspielen, das äußerte Julia Roberts gegenüber den Medien.",life-fact mismatch,L8,F,J,mismatch,mismatch,critical,AP,Actors,Julia_Roberts.jpg,
10,38,c,38c,Im Jahr,2015,werde ich,in dem,Film,"""",The Invisible Woman,"""",die Hauptrolle spielen,",",das schilderte,Joan Fontaine,interessierten Fans.,"Im Jahr 2015 werde ich in dem Film ""The Invisible Woman"" die Hauptrolle spielen, das schilderte Joan Fontaine interessierten Fans.",life mismatch,L8,F,J,mismatch,match,critical,AP,Actors,Joan_Fontaine.jpg,
10,40,c,40c,Im Jahr,1940,werde ich,in dem,Film,"""",Die Tribute von Panem – Mockingjay,"""",die Hauptrolle spielen,",",das schilderte,Jennifer Lawrence,interessierten Fans.,"Im Jahr 1940 werde ich in dem Film ""Die Tribute von Panem – Mockingjay"" die Hauptrolle spielen, das schilderte Jennifer Lawrence interessierten Fans.",life mismatch,L8,F,J,mismatch,match,critical,AP,Actors,Jennifer_Lawrence.jpg,
11,42,b,42b,Im Jahr,1998,werde ich,in dem,Film,"""",Lola rennt,"""",die Hauptrolle spielen,",",das behauptete,Adam Sandler,auf dem roten Teppich.,"Im Jahr 1998 werde ich in dem Film ""Lola rennt"" die Hauptrolle spielen, das behauptete Adam Sandler auf dem roten Teppich.",fact mismatch,L8,F,J,match,mismatch,critical,AP,Actors,Adam_Sandler.jpg,
11,44,b,44b,Im Jahr,1960,werde ich,in dem,Film,"""",Das süße Leben,"""",die Hauptrolle spielen,",",das behauptete,Anthony Perkins,auf dem roten Teppich.,"Im Jahr 1960 werde ich in dem Film ""Das süße Leben"" die Hauptrolle spielen, das behauptete Anthony Perkins auf dem roten Teppich.",fact mismatch,L8,F,J,match,mismatch,critical,AP,Actors,Anthony_Perkins.png,
12,46,a,46a,Im Jahr,2020,werde ich,mein,Engagement für die,"""",Rechte junger Frauen,"""",vorantreiben,",",das verkündete,Malala Yousafzai,auf einer Pressekonferenz.,"Im Jahr 2020 werde ich mein Engagement für die ""Rechte junger Frauen"" vorantreiben, das verkündete Malala Yousafzai auf einer Pressekonferenz.",full match,L8,F,J,match,match,critical,PM,Activist,Malala_Yousafzai.jpg,
12,48,a,48a,Im Jahr,1955,werde ich,mein,Engagement für die,"""",Abschaffung der Apartheid,"""",vorantreiben,",",das verkündete,Nelson Mandela,auf einer Pressekonferenz.,"Im Jahr 1955 werde ich mein Engagement für die ""Abschaffung der Apartheid"" vorantreiben, das verkündete Nelson Mandela auf einer Pressekonferenz.",full match,L8,F,J,match,match,critical,PM,Activist,Nelson_Mandela.jpg,
13,49,d,49d,Im Jahr,2007,werde ich,den,Film,"""",Panzerkreuzer Potemkin,"""",inszenieren,",",das meinte,Fritz Lang,in einer Fragerunde.,"Im Jahr 2007 werde ich den Film ""Panzerkreuzer Potemkin"" inszenieren, das meinte Fritz Lang in einer Fragerunde.",life-fact mismatch,L8,F,J,mismatch,mismatch,critical,PM,Directors,Fritz_Lang.jpg,
13,51,d,51d,Im Jahr,1925,werde ich,den,Film,"""",Transformers,"""",inszenieren,",",das meinte,Ethan Coen,in einer Fragerunde.,"Im Jahr 1925 werde ich den Film ""Transformers"" inszenieren, das meinte Ethan Coen in einer Fragerunde.",life-fact mismatch,L8,F,J,mismatch,mismatch,critical,PM,Directors,Ethan_Coen.jpg,
