item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,spillover_pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
1,1,b,1b,Im Jahr,2001,werde ich,in dem,Film,"""",Harry Potter und der Stein der Weisen,"""",auftreten,",",das behauptete,Russell Crowe,in einem Intervew.,"Im Jahr 2001 werde ich in dem Film ""Harry Potter und der Stein der Weisen"" auftreten, das behauptete Russell Crowe in einem Intervew.",fact mismatch,L2,F,J,match,mismatch,critical,DP,Actors,Russell_Crowe.jpg,
1,3,b,3b,Im Jahr,1939,werde ich,in dem,Film,"""",Zauberer von Oz,"""",auftreten,",",das behauptete,Humphrey Bogart,in einem Intervew.,"Im Jahr 1939 werde ich in dem Film ""Zauberer von Oz"" auftreten, das behauptete Humphrey Bogart in einem Intervew.",fact mismatch,L2,F,J,match,mismatch,critical,DP,Actors,Humphrey_Bogart.jpg,
2,5,a,5a,Im Jahr,2018,werde ich,das,Lied,"""",Je ne parle pas français,"""",aufnehmen,",",das verkündete,Namika,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""Je ne parle pas français"" aufnehmen, das verkündete Namika gegenüber der Presse.",full match,L2,F,J,match,match,critical,DP,Musicians,Namika.jpg,
2,7,a,7a,Im Jahr,1982,werde ich,das,Lied,"""",Under Pressure,"""",aufnehmen,",",das verkündete,David Bowie,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""Under Pressure"" aufnehmen, das verkündete David Bowie gegenüber der Presse.",full match,L2,F,J,match,match,critical,DP,Musicians,David_Bowie.jpg,
3,10,d,10d,Im Jahr,1997,werde ich,in dem,Film,"""",Vom Winde verweht,"""",mitspielen,",",das meinte,James Dean,zu einem Reporter.,"Im Jahr 1997 werde ich in dem Film ""Vom Winde verweht"" mitspielen, das meinte James Dean zu einem Reporter.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,DP,Actors,James_Dean.jpg,
3,12,d,12d,Im Jahr,1940,werde ich,in dem,Film,"""",Austin Powers,"""",mitspielen,",",das meinte,George Clooney,zu einem Reporter.,"Im Jahr 1940 werde ich in dem Film ""Austin Powers"" mitspielen, das meinte George Clooney zu einem Reporter.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,DP,Actors,George_Clooney.jpg,
4,14,c,14c,Im Jahr,1977,werde ich,das,Buch,"""",In einem andern Land,"""",schreiben,",",das erzählte,Ernest Hemingway,einer Tageszeitung.,"Im Jahr 1977 werde ich das Buch ""In einem andern Land"" schreiben, das erzählte Ernest Hemingway einer Tageszeitung.",life mismatch,L2,F,J,mismatch,match,critical,DP,Authors,Ernest_Hemingway.jpg,
4,16,c,16c,Im Jahr,1929,werde ich,das,Buch,"""",The Handmaid's Tale,"""",schreiben,",",das erzählte,Margaret Atwood,einer Tageszeitung.,"Im Jahr 1929 werde ich das Buch ""The Handmaid's Tale"" schreiben, das erzählte Margaret Atwood einer Tageszeitung.",life mismatch,L2,F,J,mismatch,match,critical,DP,Authors,Margaret_Atwood.jpg,
5,18,b,18b,Im Jahr,2000,werde ich,in dem,Film,"""",Pulp Fiction,"""",zu sehen sein,",",das stellte,Kate Winslet,in einem Interview fest.,"Im Jahr 2000 werde ich in dem Film ""Pulp Fiction"" zu sehen sein, das stellte Kate Winslet in einem Interview fest.",fact mismatch,L2,F,J,match,mismatch,critical,DP,Actors,Kate_Winslet.jpg,
5,20,b,20b,Im Jahr,1959,werde ich,in dem,Film,"""",Manche mögen's heiß,"""",zu sehen sein,",",das stellte,Jimmy Stewart,in einem Interview fest.,"Im Jahr 1959 werde ich in dem Film ""Manche mögen's heiß"" zu sehen sein, das stellte Jimmy Stewart in einem Interview fest.",fact mismatch,L2,F,J,match,mismatch,critical,DP,Actors,Jimmy_Stewart.jpg,
6,22,a,22a,Im Jahr,2004,werde ich,bei dem,Film,"""",Kill Bill – Volume 2,"""",Regie führen,",",das versicherte,Quentin Tarantino,einem Reporter.,"Im Jahr 2004 werde ich bei dem Film ""Kill Bill – Volume 2"" Regie führen, das versicherte Quentin Tarantino einem Reporter.",full match,L2,F,J,match,match,critical,PM,Directors,Quentin_Tarantino.jpg,
6,24,a,24a,Im Jahr,1960,werde ich,bei dem,Film,"""",Spartacus,"""",Regie führen,",",das versicherte,Stanley Kubrick,einem Reporter.,"Im Jahr 1960 werde ich bei dem Film ""Spartacus"" Regie führen, das versicherte Stanley Kubrick einem Reporter.",full match,L2,F,J,match,match,critical,PM,Directors,Stanley_Kubrick.jpg,
7,25,d,25d,Im Jahr,2020,werde ich,das,Turnier im,"""",Boxen,"""",gewinnen,",",das berichtete,Niki Lauda,einer Nachrichtenagentur.,"Im Jahr 2020 werde ich das Turnier im ""Boxen"" gewinnen, das berichtete Niki Lauda einer Nachrichtenagentur.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,PM,Athletes,Niki_Lauda.jpg,
7,27,d,27d,Im Jahr,1975,werde ich,das,Turnier im,"""",Fußball,"""",gewinnen,",",das berichtete,Serena Williams,einer Nachrichtenagentur.,"Im Jahr 1975 werde ich das Turnier im ""Fußball"" gewinnen, das berichtete Serena Williams einer Nachrichtenagentur.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,PM,Athletes,Serena_Williams.jpg,
8,29,c,29c,Im Jahr,2019,werde ich,in dem,Film,"""",Cleopatra,"""",auftreten,",",das teilte,Elizabeth Taylor,einer Journalistin mit.,"Im Jahr 2019 werde ich in dem Film ""Cleopatra"" auftreten, das teilte Elizabeth Taylor einer Journalistin mit.",life mismatch,L2,F,J,mismatch,match,critical,AP,Actors,Elizabeth_Taylor.jpg,
8,31,c,31c,Im Jahr,1963,werde ich,in dem,Film,"""",Once Upon a Time in Hollywood,"""",auftreten,",",das teilte,Brad Pitt,einer Journalistin mit.,"Im Jahr 1963 werde ich in dem Film ""Once Upon a Time in Hollywood"" auftreten, das teilte Brad Pitt einer Journalistin mit.",life mismatch,L2,F,J,mismatch,match,critical,AP,Actors,Brad_Pitt.jpeg,
9,33,b,33b,Im Jahr,1990,werde ich,in dem,Film,"""",Pretty Woman,"""",mitspielen,",",das äußerte,Jonny Depp,gegenüber den Medien.,"Im Jahr 1990 werde ich in dem Film ""Pretty Woman"" mitspielen, das äußerte Jonny Depp gegenüber den Medien.",fact mismatch,L2,F,J,match,mismatch,critical,AP,Actors,Johnny_Depp.jpg,
9,35,b,35b,Im Jahr,1963,werde ich,in dem,Film,"""",Dinner for One,"""",mitspielen,",",das äußerte,Lex Barker,gegenüber den Medien.,"Im Jahr 1963 werde ich in dem Film ""Dinner for One"" mitspielen, das äußerte Lex Barker gegenüber den Medien.",fact mismatch,L2,F,J,match,mismatch,critical,AP,Actors,Lex_Barker.jpg,
10,37,a,37a,Im Jahr,2015,werde ich,in dem,Film,"""",Terminator: Genisys,"""",die Hauptrolle spielen,",",das schilderte,Arnold Schwarzenegger,interessierten Fans.,"Im Jahr 2015 werde ich in dem Film ""Terminator: Genisys"" die Hauptrolle spielen, das schilderte Arnold Schwarzenegger interessierten Fans.",full match,L2,F,J,match,match,critical,AP,Actors,Arnold_Schwarzenegger.jpg,
10,39,a,39a,Im Jahr,1940,werde ich,in dem,Film,"""",Der große Diktator,"""",die Hauptrolle spielen,",",das schilderte,Charlie Chaplin,interessierten Fans.,"Im Jahr 1940 werde ich in dem Film ""Der große Diktator"" die Hauptrolle spielen, das schilderte Charlie Chaplin interessierten Fans.",full match,L2,F,J,match,match,critical,AP,Actors,Charlie_Chaplin.jpg,
11,42,d,42d,Im Jahr,1998,werde ich,in dem,Film,"""",Das süße Leben,"""",die Hauptrolle spielen,",",das behauptete,Anthony Perkins,auf dem roten Teppich.,"Im Jahr 1998 werde ich in dem Film ""Das süße Leben"" die Hauptrolle spielen, das behauptete Anthony Perkins auf dem roten Teppich.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,AP,Actors,Anthony_Perkins.png,
11,44,d,44d,Im Jahr,1960,werde ich,in dem,Film,"""",Lola rennt,"""",die Hauptrolle spielen,",",das behauptete,Adam Sandler,auf dem roten Teppich.,"Im Jahr 1960 werde ich in dem Film ""Lola rennt"" die Hauptrolle spielen, das behauptete Adam Sandler auf dem roten Teppich.",life-fact mismatch,L2,F,J,mismatch,mismatch,critical,AP,Actors,Adam_Sandler.jpg,
12,46,c,46c,Im Jahr,2020,werde ich,mein,Engagement für die,"""",Abschaffung der Apartheid,"""",vorantreiben,",",das verkündete,Nelson Mandela,auf einer Pressekonferenz.,"Im Jahr 2020 werde ich mein Engagement für die ""Abschaffung der Apartheid"" vorantreiben, das verkündete Nelson Mandela auf einer Pressekonferenz.",life mismatch,L2,F,J,mismatch,match,critical,PM,Activist,Nelson_Mandela.jpg,
12,48,c,48c,Im Jahr,1955,werde ich,mein,Engagement für die,"""",Rechte junger Frauen,"""",vorantreiben,",",das verkündete,Malala Yousafzai,auf einer Pressekonferenz.,"Im Jahr 1955 werde ich mein Engagement für die ""Rechte junger Frauen"" vorantreiben, das verkündete Malala Yousafzai auf einer Pressekonferenz.",life mismatch,L2,F,J,mismatch,match,critical,PM,Activist,Malala_Yousafzai.jpg,
13,50,b,50b,Im Jahr,2007,werde ich,den,Film,"""",No Country for Old Men,"""",inszenieren,",",das meinte,Michael Bay,in einer Fragerunde.,"Im Jahr 2007 werde ich den Film ""No Country for Old Men"" inszenieren, das meinte Michael Bay in einer Fragerunde.",fact mismatch,L2,F,J,match,mismatch,critical,PM,Directors,Michael_Bay.jpg,
13,52,b,52b,Im Jahr,1925,werde ich,den,Film,"""",Metropolis,"""",inszenieren,",",das meinte,Sergei Eisenstein,in einer Fragerunde.,"Im Jahr 1925 werde ich den Film ""Metropolis"" inszenieren, das meinte Sergei Eisenstein in einer Fragerunde.",fact mismatch,L2,F,J,match,mismatch,critical,PM,Directors,Sergei_Eisenstein.jpg,
14,54,a,54a,Im Jahr,1991,werde ich,in dem,Film,"""",Nightmare on Elm Street 6,"""",zu sehen sein,",",das erzählte,Robert Englund,einer Nachrichtenagentur.,"Im Jahr 1991 werde ich in dem Film ""Nightmare on Elm Street 6"" zu sehen sein, das erzählte Robert Englund einer Nachrichtenagentur.",full match,L2,F,J,match,match,critical,PM,Actors,Robert_Englund.jpg,
