item,version,letter,sentence,im_jahr,year,future,pp,objnp,qm1,fact,qm2,verb,comma,spillover_verb,name,spillover_pp,full_sentence,condition,list,yes_F,yes_J,life_mismatch,fact_mismatch,type,created,occupation,file_name,PK
1,2,b,2b,Im Jahr,2001,werde ich,in dem,Film,"""",A Beautiful Mind,"""",auftreten,",",das behauptete,Emma Watson,in einem Intervew.,"Im Jahr 2001 werde ich in dem Film ""A Beautiful Mind"" auftreten, das behauptete Emma Watson in einem Intervew.",fact mismatch,L6,F,J,match,mismatch,critical,DP,Actors,Emma_Watson.jpg,
1,4,b,4b,Im Jahr,1939,werde ich,in dem,Film,"""",Opfer einer großen Liebe,"""",auftreten,",",das behauptete,Judy Garland,in einem Intervew.,"Im Jahr 1939 werde ich in dem Film ""Opfer einer großen Liebe"" auftreten, das behauptete Judy Garland in einem Intervew.",fact mismatch,L6,F,J,match,mismatch,critical,DP,Actors,Judy_Garland.jpg,
2,6,a,6a,Im Jahr,2018,werde ich,das,Lied,"""",This Is America,"""",aufnehmen,",",das verkündete,Childish Gambino,gegenüber der Presse.,"Im Jahr 2018 werde ich das Lied ""This Is America"" aufnehmen, das verkündete Childish Gambino gegenüber der Presse.",full match,L6,F,J,match,match,critical,DP,Musicians,Childish_Gambino.png,
2,8,a,8a,Im Jahr,1982,werde ich,das,Lied,"""",Thriller,"""",aufnehmen,",",das verkündete,Michael Jackson,gegenüber der Presse.,"Im Jahr 1982 werde ich das Lied ""Thriller"" aufnehmen, das verkündete Michael Jackson gegenüber der Presse.",full match,L6,F,J,match,match,critical,DP,Musicians,Michael_Jackson.png,
3,9,d,9d,Im Jahr,1997,werde ich,in dem,Film,"""",... denn sie wissen nicht,"""",mitspielen,",",das meinte,Clark Gable,zu einem Reporter.,"Im Jahr 1997 werde ich in dem Film ""... denn sie wissen nicht"" mitspielen, das meinte Clark Gable zu einem Reporter.",life-fact mismatch,L6,F,J,mismatch,mismatch,critical,DP,Actors,Clark_Gable.jpg,
3,11,d,11d,Im Jahr,1940,werde ich,in dem,Film,"""",Batman & Robin,"""",mitspielen,",",das meinte,Mike Myers,zu einem Reporter.,"Im Jahr 1940 werde ich in dem Film ""Batman & Robin"" mitspielen, das meinte Mike Myers zu einem Reporter.",life-fact mismatch,L6,F,J,mismatch,mismatch,critical,DP,Actors,Mike_Myers.jpg,
4,13,c,13c,Im Jahr,1977,werde ich,das,Buch,"""",Ein Zimmer für sich allein,"""",schreiben,",",das erzählte,Virginia Woolf,einer Tageszeitung.,"Im Jahr 1977 werde ich das Buch ""Ein Zimmer für sich allein"" schreiben, das erzählte Virginia Woolf einer Tageszeitung.",life mismatch,L6,F,J,mismatch,match,critical,DP,Authors,Virginia_Woolf.jpg,
4,15,c,15c,Im Jahr,1929,werde ich,das,Buch,"""",Shining,"""",schreiben,",",das erzählte,Stephen King,einer Tageszeitung.,"Im Jahr 1929 werde ich das Buch ""Shining"" schreiben, das erzählte Stephen King einer Tageszeitung.",life mismatch,L6,F,J,mismatch,match,critical,DP,Authors,Stephen_King.jpg,
5,17,b,17b,Im Jahr,2000,werde ich,in dem,Film,"""",Titanic,"""",zu sehen sein,",",das stellte,Uma Thurmann,in einem Interview fest.,"Im Jahr 2000 werde ich in dem Film ""Titanic"" zu sehen sein, das stellte Uma Thurmann in einem Interview fest.",fact mismatch,L6,F,J,match,mismatch,critical,DP,Actors,Uma_Thurman.jpg,
5,19,b,19b,Im Jahr,1959,werde ich,in dem,Film,"""",Vertigo,"""",zu sehen sein,",",das stellte,Marilyn Monroe,in einem Interview fest.,"Im Jahr 1959 werde ich in dem Film ""Vertigo"" zu sehen sein, das stellte Marilyn Monroe in einem Interview fest.",fact mismatch,L6,F,J,match,mismatch,critical,DP,Actors,Marilyn_Monroe.jpg,
